Timestamp,Download_Speed_Mbps,Upload_Speed_Mbps,Ping_ms,Server_Host,Server_Location,Client_IP,Download_Compliance_Percent,Upload_Compliance_Percent,Error
2025-09-23T12:38:26.843391,98.71,24.97,22.05,speedtest.sntc.ca.sailx.co:8080,"Santa Clara, CA, United States",98.42.43.238,49.35,124.84,
2025-09-23T13:53:12.094668,1.52,0.65,25.82,sanfrancisco.getstreamhosting.com:8080,"Oakland, CA, United States",98.51.2.3,0.14,1.85,
2025-09-23T14:11:44.613996,29.17,2.77,26.4,st5801.etheric.net:8080,"Palo Alto, CA, United States",98.51.2.3,2.65,7.91,
2025-09-23T14:12:44.374874,23.67,2.32,22.37,st5801.etheric.net:8080,"Palo Alto, CA, United States",98.51.2.3,2.15,6.64,
2025-09-23T14:13:13.820969,18.31,1.76,78.85,speedtest.m-d.net:8080,"Fremont, CA, United States",98.51.2.3,1.66,5.04,
2025-09-23T14:27:04.086372,105.77,29.01,24.22,sfo.mega.host.speedtest.net:8080,"San Francisco, CA, United States",98.42.43.238,9.62,82.9,
2025-09-23T14:37:23.152286,1.39,17.84,28.93,nike.coastside.net:8080,"Half Moon Bay, CA, United States",98.42.43.238,0.13,50.98,
2025-09-23T14:40:42.046867,10.6,17.22,27.06,speedtest.sr.sonic.net:8080,"Santa Rosa, CA, United States",98.42.43.238,0.96,49.2,
2025-09-23T14:50:49.748201,48.68,28.07,21.11,speedtest.sr.sonic.net:8080,"Santa Rosa, CA, United States",98.42.43.238,4.43,80.21,
2025-09-23T15:43:11.954370,40.73,7.83,21.08,nike.coastside.net:8080,"Half Moon Bay, CA, United States",98.42.43.238,3.7,22.38,
2025-09-23T15:47:24.166969,48.7,35.62,20.37,speedtest.sr.sonic.net:8080,"Santa Rosa, CA, United States",98.42.43.238,4.43,101.77,
2025-09-23T15:50:36.109225,228.61,22.89,20.53,nike.coastside.net:8080,"Half Moon Bay, CA, United States",98.42.43.238,20.78,65.41,
2025-09-23T15:53:57.450743,2.95,7.11,20.07,nike.coastside.net:8080,"Half Moon Bay, CA, United States",98.42.43.238,0.27,20.3,
2025-09-23T15:55:32.288208,237.04,31.08,26.76,nike.coastside.net:8080,"Half Moon Bay, CA, United States",98.42.43.238,21.55,88.79,
2025-09-23T15:56:53.627870,261.92,33.92,19.86,nike.coastside.net:8080,"Half Moon Bay, CA, United States",98.42.43.238,23.81,96.92,
2025-09-23T16:19:37.185709,108.19,17.39,20.85,speedtest.sr.sonic.net:8080,"Santa Rosa, CA, United States",98.42.43.238,9.84,49.69,
2025-09-23T16:22:17.918059,78.21,30.23,25.38,speedtest.sr.sonic.net:8080,"Santa Rosa, CA, United States",98.42.43.238,7.11,86.38,
2025-09-23T16:24:01.965020,70.98,36.53,22.48,st5801.etheric.net:8080,"Palo Alto, CA, United States",98.42.43.238,6.45,104.38,
2025-09-23T16:31:46.426777,81.57,30.78,31.01,speedtest.sr.sonic.net:8080,"Santa Rosa, CA, United States",98.42.43.238,7.42,87.93,
2025-09-23T16:36:39.882191,78.47,36.22,20.37,nike.coastside.net:8080,"Half Moon Bay, CA, United States",98.42.43.238,7.13,103.48,
2025-09-23T16:38:11.554566,74.05,33.67,24.33,speedtest.sr.sonic.net:8080,"Santa Rosa, CA, United States",98.42.43.238,6.73,96.19,
2025-09-23T18:45:38.830768,444.07,34.54,28.96,sj2caook.speedtest.sbcglobal.net:8080,"San Jose, CA, United States",98.42.43.238,40.37,98.69,
2025-09-24T07:34:45.329036,750.59,39.5,20.64,sanfrancisco.getstreamhosting.com:8080,"Oakland, CA, United States",98.42.43.238,68.24,112.86,
2025-09-24T07:47:58.495274,293.99,36.3,18.49,speedtest.m-d.net:8080,"Fremont, CA, United States",98.42.43.238,26.73,103.7,
2025-09-24T07:52:15.189187,247.22,37.42,19.78,speedtest01.open5g.com:8080,"Atherton, CA, United States",98.42.43.238,22.47,106.9,
2025-09-24T07:54:27.477580,518.88,38.72,18.08,speedtest.m-d.net:8080,"Fremont, CA, United States",98.42.43.238,47.17,110.64,
